hwinfo 24.0-1.1
hwloc 2.12.1-1.1
hyphen 2.8.8-6.1
iana-etc 20250502-1
icu 76.1-1.1
iio-sensor-proxy 3.6-1.1
ijs 0.35-6.1
imagemagick 7.1.1.47-2.1
imath 3.1.12-4.1
imlib2 1.12.5-1.1
inetutils 2.6-1
iniparser 4.2.6-1.1
intel-oneapi-common 2024.1.0-1
intel-oneapi-compiler-dpcpp-cpp-runtime-libs 2025.0.4-1.1
intel-oneapi-compiler-shared-runtime-libs 2025.0.4-2.1
intel-oneapi-openmp 2025.0.4-1.1
intel-oneapi-tbb 2021.12.0-2.1
intel-oneapi-tcm 1.2.0-3.1
inxi 3.3.38.1-1
iproute2 6.15.0-1.1
iptables-nft 1:1.8.11-2.1
iputils 20250602-1.1
iso-codes 4.18.0-1
iw 6.9-1.1
iwd 3.8-1
jack2 1.9.22-1.1
jansson 2.14.1-1.1
jasper 4.2.5-1.1
jbig2dec 0.20-1.1
jbigkit 2.1-8.1
jemalloc 1:5.3.0-5.1
jfsutils 1.1.15-9.1
jq 1.8.0-1.1
js128 128.11.0-1.1
json-c 0.18-2.1
json-glib 1.10.6-1.1
jsoncpp 1.9.6-3.1
kaccounts-integration 25.04.1-1.1
karchive 6.14.0-1.1
kauth 6.14.0-1.1
kbd 2.8.0-1.1
kbookmarks 6.14.0-1.1
kcmutils 6.14.0-1.1
kcodecs 6.14.0-1.1
kcolorscheme 6.14.0-1.1
kcompletion 6.14.0-1.1
kconfig 6.14.0-1.1
kconfigwidgets 6.14.0-1.1
kcoreaddons 6.14.0-1.1
kcrash 6.14.0-1.1
kdbusaddons 6.14.0-1.1
kdenlive 25.04.1-1.1
keyutils 1.6.3-3.1
kfilemetadata 6.14.0-1.1
kglobalaccel 6.14.0-1.1
kguiaddons 6.14.0-1.1
ki18n 6.14.0-1.1
kiconthemes 6.14.0-1.1
kio 6.14.0-1.1
kirigami 6.14.1-1.1
kitemviews 6.14.0-1.1
kjobwidgets 6.14.0-1.1
kmod 34.2-1
knewstuff 6.14.0-1.1
knotifications 6.14.0-1.1
knotifyconfig 6.14.0-1.1
kpackage 6.14.0-1.1
krb5 1.21.3-1.1
kservice 6.14.0-1.1
ktextwidgets 6.14.0-1.1
kwallet 6.14.1-1.1
kwidgetsaddons 6.14.0-1.1
kwindowsystem 6.14.0-1.1
kxmlgui 6.14.0-1.1
l-smash 2.14.5-4.1
lame 3.100-5.1
lapack 3.12.1-2.1
lazygit 0.51.1-1.1
lcms2 2.17-1.1
ldb 2:4.22.1-1.1
leancrypto 1.3.0-1.1
lensfun 1:0.3.4-5.1
less 1:668-1.1
level-zero-loader 1.21.9-1
lib32-acl 2.3.2-1
lib32-alsa-lib 1.2.14-1
lib32-alsa-plugins 1.2.12-1
lib32-at-spi2-core 2.56.2-1
lib32-attr 2.5.2-1
lib32-audit 4.0.5-1
lib32-blas 3.12.1-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-4
lib32-cairo 1.18.4-1
lib32-colord 1.4.7-1
lib32-curl 8.14.1-1
lib32-dbus 1.16.2-1
lib32-dbus-glib 0.114-1
lib32-duktape 2.7.0-7
lib32-e2fsprogs 1.47.2-1
lib32-expat 2.7.1-1
lib32-flac 1.5.0-1
lib32-fontconfig 2:2.16.2-1
lib32-freeglut 3.6.0-2
lib32-freetype2 2.13.3-3
lib32-fribidi 1.0.16-2
lib32-gcc-libs 15.1.1+r7+gf36ec88aa85a-2
lib32-gdk-pixbuf2 2.42.12-2
lib32-gettext 0.24-1
lib32-giflib 5.2.2-1
lib32-glew 2.2.0-5
lib32-glew1.10 1.10.0-6
lib32-glib-networking 1:2.80.1-1
lib32-glib2 2.84.2-1
lib32-glibc 2.41+r48+g5cb575ca9a3d-2
lib32-glu 9.0.3-2
lib32-gmp 6.3.0-2
lib32-gnutls 3.8.9-1
lib32-gst-plugins-base-libs 1.26.2-1
lib32-gstreamer 1.26.2-1
lib32-gtk2 2.24.33-5
lib32-gtk3 1:3.24.49-1
lib32-harfbuzz 11.2.1-1
lib32-icu 76.1-1
lib32-imlib2 1.12.5-1
lib32-json-c 0.18-2
lib32-keyutils 1.6.3-2
lib32-krb5 1.21.3-1
lib32-lapack 3.12.1-1
lib32-lcms2 2.16-1
lib32-libappindicator-gtk2 12.10.0.r298-2
lib32-libasyncns 1:0.8+r3+g68cd5af-3
lib32-libcaca 0.99.beta20-2
lib32-libcanberra 1:0.30+r2+gc0620e4-3
lib32-libcap 2.76-1
lib32-libcups 2.4.11-1
lib32-libcurl-compat 8.14.1-1
lib32-libcurl-gnutls 8.14.1-1
lib32-libdatrie 0.2.13-3
lib32-libdbusmenu-glib 16.04.0-6
lib32-libdbusmenu-gtk2 16.04.0-6
lib32-libdrm 2.4.124-1
lib32-libelf 0.193-1
lib32-libepoxy 1.5.10-2
lib32-libffi 3.4.8-1
lib32-libgcrypt 1.11.1-1
lib32-libgcrypt15 1.5.6-8
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.51-1
lib32-libgudev 238-3
lib32-libice 1.1.1-2
lib32-libidn11 1.33-3
lib32-libidn2 2.3.7-1
lib32-libindicator-gtk2 12.10.1-10
lib32-libjpeg-turbo 3.1.0-1
lib32-libjpeg6-turbo 1.5.3-3
lib32-libldap 2.6.10-1
lib32-libltdl 2.5.4+r23+g5b582aed-1
lib32-libmikmod 3.3.13-1
lib32-libmodplug 0.8.9.0-5
lib32-libnghttp2 1.65.0-1
lib32-libnghttp3 1.10.1-1
lib32-libnl 3.11.0-1
lib32-libnm 1.52.0-1
lib32-libnsl 2.0.1-1
lib32-libogg 1.3.5-2
lib32-libpcap 1.10.5-2
lib32-libpciaccess 0.18.1-1
lib32-libpipewire 1:1.4.5-1
lib32-libpng 1.6.48-1
lib32-libpng12 1.2.59-3
lib32-libproxy 0.5.9-1
lib32-libpsl 0.21.5-1
lib32-libpulse 17.0+r43+g3e2bb8a1e-1
lib32-librsvg 2:2.60.0-2
lib32-librtmp0 2.4-6
lib32-libsm 1.2.4-2
lib32-libsndfile 1.2.2-3
lib32-libsoup 2.74.3-3
lib32-libssh2 1.11.1-1
lib32-libtasn1 4.20.0-1
lib32-libthai 0.1.29-3
lib32-libtheora 1.2.0-1
lib32-libtiff 4.7.0-1
lib32-libtiff4 3.9.7-6
lib32-libtirpc 1.3.6-1
lib32-libudev0-shim 2-1
lib32-libunistring 1.3-1
lib32-libunwind 1.8.1-1
lib32-libusb 1.0.29-1
lib32-libva 2.22.0-1
lib32-libvdpau 1.5-3
lib32-libvorbis 1.3.7-4
lib32-libvpx 1.15.0-1
lib32-libvpx1.3 1.3.0-4
lib32-libwebp 1.5.0-1
lib32-libx11 1.8.12-1
lib32-libxau 1.0.11-2
